label,required,type,name,kuid,relevant,appearance,constraint_message,constraint
"9. Naoia we yu stap long ples ia, bae yu save singaotem se yu man ples ia (Vila) o yu stil man narafala ples (aelan/vilij)?",true,text,naoia_we_yu_stap_long_ples_ia_bae_yu_save_singaotem_se_yu_man_ples_ia_vila_o_yu_stil_man_narafala_ples_aelan_vilij_,SIK2DPUQ,${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
"10. Wij komuniti nao yu stap wok wetem, helpem o yu stap spendem fulap taim lo hem?",true,select_one vu7sd25,wij_komuniti_nao_yu_stap_wok_wetem_helpem_o_yu_stap_spendem_fulap_taim_lo_hem_,DNASJJ3N,${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
11. Yu stap ko fulap taem lo aelan blong yu?,true,select_one xm6lu59,yu_stap_ko_fulap_taem_lo_aelan_blong_yu_,6PNRAGY6,${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
"11.1 Sapos yes, yu stap ko:",true,select_one zd9dy86,Supos_yes_yu_stap_ko,,${yu_stap_ko_fulap_taem_lo_aelan_blong_yu_} = 'yes',,,
11.2 Narafala ansa:,true,text,_11_2_narafala_ansa_,O9U18WSI,${yu_stap_ko_fulap_taem_lo_aelan_blong_yu_} = 'yes' and ${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
"11.3 Sapos yes, yu stap ko blong mekem wanem?",true,select_multiple xi66j44,Supos_yes_yu_stap_ko_blong_me,,${yu_stap_ko_fulap_taem_lo_aelan_blong_yu_} = 'yes' and ${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
11.4 Narafala ansa:,true,text,narafala_ansa__0_0_0,5NEWNJ20,"selected(${Supos_yes_yu_stap_ko_blong_me}, 'narafala112') and ${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple'",,,
12. Yu ting se bai yu ko bak lo aelan o vilij blong yu samtaem yet blong ko stap? ,true,select_one oe7kj98,Yu_ting_se_bai_yu_kobak_lo_ael,,${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
"12.1 Sapos yes, wetaem?",true,select_one sq3eo58,Sapos_yes_wetaem,,${Yu_ting_se_bai_yu_kobak_lo_ael} = 'yes',,,
12.2 Narafala ansa:,true,text,narafala_ansa__0_0_0_0,Y2MMOJPK,${Sapos_yes_wetaem} = 'narafala121',,,
"12.3 Sapos yes, from wanem risen?",true,select_one gp1lr27,Sapos_yes_from_wanem_risen,,${Yu_ting_se_bai_yu_kobak_lo_ael} = 'yes',,,
12.4 Narafala risen:,true,text,narafala_risen_,CC6CGU9X,${Sapos_yes_from_wanem_risen} = 'narafala_risen',,,
"12.5 Sapos yes, wea?",true,text,supos_yes_wea_,G7S7BSVP,${Yu_ting_se_bai_yu_kobak_lo_ael} = 'yes',,,
13. Hamas taem nao yufala i stap risivim o sendem ol samting ia?,,begin group,exjens,,,field-list,,
13.1 Sendem mane,false,select_one on6zt56,sendem_mane,69PQZVPM,,compact,,
13.2 Sendem kakae,false,select_one on6zt56,sendem_kakae,ES057WR1,,compact,,
13.3 Sendem ol narafala samting,false,select_one on6zt56,sendem_ol_narafala_samting,S0ZP6UG8,,compact,,
13.4 Risivim mane,false,select_one on6zt56,risivim_mane,LTT6ZRFA,,compact,,
13.5 Risivim kakae,false,select_one on6zt56,risivim_kakae,7X3UPCX5,,compact,,
13.6 Risivim ol narafala samting,false,select_one on6zt56,risivim_ol_narafala_samting,IUWOF7DF,,compact,,
,,end group,,,,,,
14 Yu bin toktok wetem kavman o NGO blong mekem sam seves i ko lo aelan komuniti blong yu samtaem?,true,select_one la0xs73,Yu_bin_toktok_wetem_kavman_o_N,,,,,
"14.1 Sapos yes, hamas taem?",true,select_one ab2kh87,Sapos_yes,,${Yu_bin_toktok_wetem_kavman_o_N} = 'yes',,,
14.2 Narafala taem:,true,text,narafala_taem_,1KR78PLD,${Sapos_yes} = 'narafala_taem',,,
"15 Sapos wan man o wan aotsaet kampani I kam blong mekem wan projek lo komuniti blong yu, yu ting se bae yu nid blong toktok wetem Island komuniti blong yu fastaem?",true,select_one re42c90,Sapos_wan_man_o_wan_aotsaet_I_,,${Wanem_nao_i_mekem_yu_wantem_ka} != 'mifala_ol_kastom_ona_blong_ple',,,
15.1 From wanem?,true,text,from_wanem_,8E7JNZ5Y,${Sapos_wan_man_o_wan_aotsaet_I_} != '',,,
16 Wanem nao 3 bigfala main problem we I stap long komuniti ia? Stat long bigfala problem I ko daon Problem 1,true,text,Wanem_nao_3_bigfala_main_probl,,,,,
Problem 2:,true,text,problem_2_,S59BGN1J,${Wanem_nao_3_bigfala_main_probl} != '',,,
Problem 3: ,true,text,problem_3_,7I5TMDDX,${Wanem_nao_3_bigfala_main_probl} != '',,,
"17 Yu ting se whu stret nao, hemi responsible long problem 1 antap ?",true,text,yu_ting_se_whu_stret_nao_hemi_responsible_long_ol_bigfala_problem_ia_,80QIKPZZ,,,,
"18 Hamas taem nao long ol past yia, yufala I kam tugeta blong tokbaot ol issue ia?",true,select_one aq45v25,hamas_taem_nao_long_ol_past_yia_yufala_i_kam_tugeta_blong_tokbaot_ol_issue_ia_,R4TAM795,,,,
19 Wanem problem nao i bringim komuniti togeta blong miting from? ,false,text,i_gat_eni_problem_we_komuniti_i_stap_miting_from_plante_taem_long_komuniti_ia_,OA3BV8TT,${hamas_taem_nao_long_ol_past_yia_yufala_i_kam_tugeta_blong_tokbaot_ol_issue_ia_} != 'neva',,,
"20 Afta we yufala i miting from ol isu ia, yufala kamap wetem eni solusen?",true,select_one ll8mo59,Afta_we_yufala_i_miting_from_o,,${hamas_taem_nao_long_ol_past_yia_yufala_i_kam_tugeta_blong_tokbaot_ol_issue_ia_} != 'neva',,,
20.1 Hao nao yufala i wok togeta from ting ting ia?,true,text,sapos_i_bin_gat_wan_long_ol_issue_ia_i_solve_yu_save_talem_smol_hao_nao_yufala_i_ajivim_ting_ting_ia_,SKM73EAM,${Afta_we_yufala_i_miting_from_o} != 'no',,,
21 Jusum any opsen we yu ting se I help bigwan tu blong ajivim ting ting ia,true,select_multiple gd2dc72,Jusum_any_opsen_we_yu_ting_se_,,,,,
21.1 Narafala,true,text,_211narafala,F7J7NDCO,"selected(${Jusum_any_opsen_we_yu_ting_se_}, '21narafala')",,,
"   22 Sapos praemari skul long vilij/komuniti ia I bin stap kohed be wan tija I no bin kam tij long skul ia bitim 6 weeks mo principal I no worry lo hem, long ting ting blong yu, yu ting se hemi wok blong whu stret blong lukluk long problem ia?",true,select_one pu4od61,Sapos_praemari_skul_long_vilij,,,,,
22.1 Narafala,true,text,narafala,TWPT5U2W,${Sapos_praemari_skul_long_vilij} = '22narafala',,,
23 Wanem kaen man nao I gat mo pawa blong tekem lid long opsen we yu jusum antap ia?,true,text,wanem_kaen_man_nao_i_gat_mo_pawa_blong_tekem_lid_long_opsen_we_yu_jusum_antap_ia_,GUVEMY83,,,,
"24 Sapos I gat wan bigfala earthquake we I afektem full village/komuniti, whu nao yu ting se hemi stret wok blong hem blong kamaot mo okanaesem wok blong helpem situesen?",true,select_one np6eq23,Sapos_I_gat_wan_bigfala_earthq,,,,,
24.1 Narafala,true,text,narafala_0,ZCGTD964,${Sapos_I_gat_wan_bigfala_earthq} = 'narafala',,,
25 Wanem kaen man nao I gat mo pawa blong tekem lid long opsen we yu jusum antap ia?,true,text,wanem_kaen_man_nao_i_gat_mo_pawa_blong_tekem_lid_long_opsen_we_yu_jusum_antap_ia__0,NL6J7674,,,,
"26 Sapos I gat wan proposal blong wan komuniti projek, and I nidim wan agriman blong vilej/komuniti, long ting ting blong yu, hao nao oli sud mekem ol desisens ia?",true,select_one ev3jo51,Sapos_I_gat_wan_proposal_blong,,,,,
26.1 Narafala,true,text,narafala_0_0,0T4NZEYD,${Sapos_I_gat_wan_proposal_blong} = 'narafala',,,
"27 Sapos I gat wan komuniti projek I stat blong kerap long komuniti blong yu, we bae I no directly helpem yu mo family blong yu, yu ting se bae yu still save ko help long project ia?",true,select_one gi2xr93,Sapos_I_gat_wan_komuniti_proje,,,,,
"27.1 Sapos yes, wanem nao yu save help long hem?",true,select_one pf1st53,Sapos_yes_wanem_nao_oli_save_,,${Sapos_I_gat_wan_komuniti_proje} = 'yes',,,
